No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 5t6bB, 0.5039, 4.04, 0.189, 406, 53, X-RAY STRUCTURE OF THE KIJD1 C3-METHYLTRANSFEERASE CONVERTED TO MONOMERIC FORM
2, 5t6bA, 0.4994, 3.86, 0.130, 403, 54, X-RAY STRUCTURE OF THE KIJD1 C3-METHYLTRANSFEERASE CONVERTED TO MONOMERIC FORM
3, 5t64A, 0.4969, 3.99, 0.151, 406, 53, X-RAY STRUCTURE OF THE C3-METHYLTRANSFERASE KIJD1 FROM ACTINOMADURA KIJANIATA IN COMPLEX WITH TDP AND SAH
4, 2p2zB, 0.4942, 2.80, 0.065, 170, 46, CRYSTAL STRUCTURE OF TTHB049 FROM THERMUS THERMOPHILUS HB8
5, 4e32A, 0.4925, 3.73, 0.115, 405, 52, X-RAY STRUCTURE OF THE C-3 -METHYLTRANSFERASE TCAB9 IN COMPLEX WITH S- ADENOSYL-L-HOMOCYSTEINE AND DTDP-SUGAR SUBSTRATE
6, 2p9zA, 0.4924, 2.82, 0.065, 171, 46, CRYSTAL STRUCTURE OF TTHB049 FROM THERMUS THERMOPHILUS HB8
7, 2p9fA, 0.4918, 2.82, 0.065, 171, 46, CRYSTAL STRUCTURE OF TTHB049 FROM THERMUS THERMOPHILUS HB8
8, 2p6mA, 0.4917, 2.81, 0.065, 171, 46, CRYSTAL STRUCTURE OF TTHB049 FROM THERMUS THERMOPHILUS HB8
9, 5t67A, 0.4916, 3.93, 0.132, 405, 53, X-RAY STRUCTURE OF THE KIJD1 C3-METHYLTRANSFERASE FROM ACTINOMADURA KIJANIATA IN COMPLEX WITH SAH AND DTDP-SUGAR PRODUCT
10, 3ndjA, 0.4915, 4.00, 0.111, 405, 54, X-RAY STRUCTURE OF A C-3 -METHYLTRANSFERASE IN COMPLEX WITH S- ADENOSYL-L-HOMOCYSTEINE AND SUGAR PRODUCT
