No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 6gnyA, 0.4864, 3.39, 0.641, 105, 78, CRYSTAL STRUCTURE OF THE MAJIN-TERB2 HETEROTETRAMERIC COMPLEX 
2, 6gnyC, 0.4779, 3.46, 0.641, 107, 78, CRYSTAL STRUCTURE OF THE MAJIN-TERB2 HETEROTETRAMERIC COMPLEX 
3, 6j08C, 0.4613, 3.72, 0.579, 104, 76, CRYSTAL STRUCTURE OF HUMAN MAJIN AND TERB2 
4, 4kmaA, 0.4539, 4.04, 0.062, 440, 80, CRYSTAL STRUCTURE OF DROSOPHILA SUPPRESSOR OF FUSED
5, 6j08A, 0.4478, 3.47, 0.616, 103, 73, CRYSTAL STRUCTURE OF HUMAN MAJIN AND TERB2 
6, 6j08B, 0.4427, 3.84, 0.600, 103, 75, CRYSTAL STRUCTURE OF HUMAN MAJIN AND TERB2 
7, 4bkwA, 0.4358, 3.89, 0.077, 479, 78, CRYSTAL STRUCTURE OF THE C-TERMINAL REGION OF HUMAN ZFYVE9
8, 6gnxC, 0.4329, 3.42, 0.629, 99, 70, CRYSTAL STRUCTURE OF THE MAJIN-TERB2 HETEROTETRAMERIC COMPLEX - SELENOMETHIONINE DERIVATIVE 
9, 3k5jA, 0.4290, 3.60, 0.099, 178, 71, CRYSTAL STRUCTURE OF PUTATIVE SUFU (SUPPRESSOR OF FUSED PROTEIN) HOMOLOG (YP_208451.1) FROM NEISSERIA GONORRHOEAE FA 1090 AT 1.40 A RESOLUTION
10, 2v7zB, 0.4184, 4.05, 0.043, 381, 70, CRYSTAL STRUCTURE OF THE 70-KDA HEAT SHOCK COGNATE PROTEIN FROM RATTUS NORVEGICUS IN POST-ATP HYDROLYSIS STATE
