No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 5vitE, 0.4169, 4.49, 0.056, 256, 71, CRYSTAL STRUCTURE OF A PSEUDOMONAS MALONATE DECARBOXYLASE HETERO- TETRAMER IN COMPLEX WITH MALONATE
2, 5vitZ, 0.4164, 4.49, 0.056, 256, 71, CRYSTAL STRUCTURE OF A PSEUDOMONAS MALONATE DECARBOXYLASE HETERO- TETRAMER IN COMPLEX WITH MALONATE
3, 5vipA, 0.4139, 4.48, 0.056, 251, 71, CRYSTAL STRUCTURE OF PSEUDOMONAS MALONATE DECARBOXYLASE MDCD-MDCE HETERO-DIMER
4, 5vitT, 0.4132, 4.38, 0.057, 256, 70, CRYSTAL STRUCTURE OF A PSEUDOMONAS MALONATE DECARBOXYLASE HETERO- TETRAMER IN COMPLEX WITH MALONATE
5, 5vitM, 0.4127, 4.40, 0.057, 256, 70, CRYSTAL STRUCTURE OF A PSEUDOMONAS MALONATE DECARBOXYLASE HETERO- TETRAMER IN COMPLEX WITH MALONATE
6, 5vipC, 0.4121, 4.43, 0.057, 250, 70, CRYSTAL STRUCTURE OF PSEUDOMONAS MALONATE DECARBOXYLASE MDCD-MDCE HETERO-DIMER
7, 5vj1M, 0.4111, 4.29, 0.058, 263, 69, CRYSTAL STRUCTURE OF A PSEUDOMONAS MALONATE DECARBOXYLASE HETERO- TETRAMER IN COMPLEX WITH COENZYME A
8, 5vj1E, 0.4110, 4.33, 0.071, 263, 70, CRYSTAL STRUCTURE OF A PSEUDOMONAS MALONATE DECARBOXYLASE HETERO- TETRAMER IN COMPLEX WITH COENZYME A
9, 2w3pB, 0.4098, 4.43, 0.076, 548, 66, BOXC CRYSTAL STRUCTURE
10, 2w3pA, 0.4093, 4.05, 0.062, 547, 64, BOXC CRYSTAL STRUCTURE
