No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 6d7yA, 0.6891, 2.40, 0.920, 89, 88, 1.75 ANGSTROM RESOLUTION CRYSTAL STRUCTURE OF THE TOXIC C-TERMINAL TIP OF CDIA FROM PSEUDOMONAS AERUGINOSA IN COMPLEX WITH IMMUNE PROTEIN 
2, 5znmB, 0.5942, 3.46, 0.083, 357, 84, COLICIN D CENTRAL DOMAIN AND C-TERMINAL TRNASE DOMAIN 
3, 5znmA, 0.5923, 3.38, 0.072, 358, 83, COLICIN D CENTRAL DOMAIN AND C-TERMINAL TRNASE DOMAIN 
4, 1tfoA, 0.5839, 3.30, 0.110, 103, 82, RIBONUCLEASE FROM ESCHERICHIA COLI COMPLEXED WITH ITS INHIBITOR PROTEIN
5, 1v74A, 0.5831, 3.30, 0.110, 107, 82, RIBONUCLEASE-INHIBITOR COMPLEX
6, 4zraC, 0.5763, 3.23, 0.076, 194, 79, CRYSTAL STRUCTURE OF MYCOBACTERIUM TUBERCULOSIS LPRG BINDING TO TRIACYLGLYCERIDE
7, 3mh8B, 0.5739, 3.35, 0.100, 194, 80, CRYSTAL STRUCTURE OF LPRG FROM MYCOBACTERIUM TUBERCULOSIS
8, 3mhaB, 0.5732, 3.49, 0.037, 195, 81, CRYSTAL STRUCTURE OF LPRG FROM MYCOBACTERIUM TUBERCULOSIS BOUND TO PIM
9, 3mh8A, 0.5633, 3.38, 0.050, 196, 80, CRYSTAL STRUCTURE OF LPRG FROM MYCOBACTERIUM TUBERCULOSIS
10, 3hi2B, 0.5564, 3.31, 0.091, 97, 77, STRUCTURE OF THE N-TERMINAL DOMAIN OF THE E. COLI ANTITOXIN MQSA (YGIT/B3021) IN COMPLEX WITH THE E. COLI TOXIN MQSR (YGIU/B3022)
