No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 4zelA, 0.5142, 3.03, 0.072, 550, 69, HUMAN DOPAMINE BETA-HYDROXYLASE
2, 4zelB, 0.5121, 3.03, 0.059, 544, 68, HUMAN DOPAMINE BETA-HYDROXYLASE
3, 3ctzA, 0.5093, 3.26, 0.061, 617, 66, STRUCTURE OF HUMAN CYTOSOLIC X-PROLYL AMINOPEPTIDASE
4, 4ms4B, 0.5006, 4.02, 0.067, 408, 75, CRYSTAL STRUCTURE OF THE EXTRACELLULAR DOMAIN OF HUMAN GABA(B) RECEPTOR BOUND TO THE AGONIST BACLOFEN
5, 5jr6B, 0.4953, 3.43, 0.045, 545, 67, THE XRAY CRYSTAL STRUCTURE OF P. FALCIPARUM AMINOPEPTIDASE P IN COMPLEX WITH APSTATIN
6, 4ms3B, 0.4947, 3.88, 0.055, 408, 73, CRYSTAL STRUCTURE OF THE EXTRACELLULAR DOMAIN OF HUMAN GABA(B) RECEPTOR BOUND TO THE ENDOGENOUS AGONIST GABA
7, 4f12A, 0.4931, 4.16, 0.066, 410, 76, CRYSTAL STRUCTURE OF THE EXTRACELLULAR DOMAIN OF HUMAN GABA(B) RECEPTOR GBR2
8, 1urjA, 0.4924, 4.51, 0.085, 1028, 82, SINGLE STRANDED DNA-BINDING PROTEIN(ICP8) FROM HERPES SIMPLEX VIRUS-1
9, 1urjB, 0.4921, 4.51, 0.085, 1030, 82, SINGLE STRANDED DNA-BINDING PROTEIN(ICP8) FROM HERPES SIMPLEX VIRUS-1
10, 1nofA, 0.4911, 3.54, 0.056, 383, 71, THE FIRST CRYSTALLOGRAPHIC STRUCTURE OF A XYLANASE FROM GLYCOSYL HYDROLASE FAMILY 5: IMPLICATIONS FOR CATALYSIS
