No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 6humD, 0.5134, 4.49, 0.067, 488, 120, STRUCTURE OF THE PHOTOSYNTHETIC COMPLEX I FROM THERMOSYNECHOCOCCUS ELONGATUS 
2, 5gpnIA, 0.5085, 4.72, 0.074, 594, 122, 
3, 5gupLA, 0.5061, 4.77, 0.090, 606, 122, 
4, 3rkoL, 0.4996, 4.86, 0.106, 612, 123, CRYSTAL STRUCTURE OF THE MEMBRANE DOMAIN OF RESPIRATORY COMPLEX I FROM E. COLI AT 3.0 ANGSTROM RESOLUTION
5, 6epcN, 0.4995, 4.25, 0.075, 905, 107, GROUND STATE 26S PROTEASOME (GS2)
6, 6cfwH, 0.4971, 4.92, 0.098, 505, 123, CRYOEM STRUCTURE OF A RESPIRATORY MEMBRANE-BOUND HYDROGENASE 
7, 6epdN, 0.4945, 4.54, 0.046, 905, 109, SUBSTRATE PROCESSING STATE 26S PROTEASOME (SPS1)
8, 6gdyA, 0.4929, 4.50, 0.045, 333, 110, CRYSTAL STRUCTURE OF 2OG OXYGENASE JMJD6 (AA 1-343) IN COMPLEX WITH FE(II) AND 2OG 
9, 2r8tA, 0.4909, 3.99, 0.066, 319, 106, CRYSTAL STRUCTURE OF THE FRUCTOSE 16-BISPHOSPHATASE GLPX FROM E.COLI IN THE COMPLEX WITH FRUCTOSE 16-BISPHOSPHATE
10, 6gdyB, 0.4904, 4.52, 0.055, 334, 110, CRYSTAL STRUCTURE OF 2OG OXYGENASE JMJD6 (AA 1-343) IN COMPLEX WITH FE(II) AND 2OG 
