No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 5a7dO, 0.5037, 3.53, 0.799, 288, 154, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
2, 5a7dS, 0.5020, 3.86, 0.790, 287, 157, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
3, 5a7dP, 0.5010, 3.66, 0.786, 288, 154, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
4, 5a7dL, 0.4981, 3.98, 0.776, 284, 156, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
5, 5a7dR, 0.4956, 3.47, 0.801, 311, 151, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
6, 5a7dN, 0.4953, 3.42, 0.767, 283, 150, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
7, 5a7dQ, 0.4931, 3.37, 0.777, 281, 148, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
8, 5a7dM, 0.4889, 3.58, 0.685, 259, 149, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
9, 5w93B, 0.3616, 2.81, 0.065, 133, 108, P130CAS COMPLEX WITH PAXILLIN LD1
10, 5w93A, 0.3610, 2.99, 0.083, 133, 109, P130CAS COMPLEX WITH PAXILLIN LD1
