No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 5uvnF, 0.3927, 4.03, 0.782, 416, 78, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
2, 5uvnE, 0.3927, 4.03, 0.782, 416, 78, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
3, 5uvnD, 0.3927, 4.03, 0.782, 416, 78, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
4, 5uvnC, 0.3927, 4.03, 0.782, 416, 78, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
5, 5uvnB, 0.3927, 4.03, 0.782, 416, 78, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
6, 5uvnA, 0.3927, 4.03, 0.782, 416, 78, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
7, 5uw2A, 0.3646, 3.38, 0.209, 112, 67, STRUCTURE OF E. COLI MCE PROTEIN MLAD PERIPLASMIC DOMAIN
8, 5uw2B, 0.3635, 3.53, 0.206, 110, 68, STRUCTURE OF E. COLI MCE PROTEIN MLAD PERIPLASMIC DOMAIN
9, 5uw2C, 0.3632, 3.62, 0.206, 110, 68, STRUCTURE OF E. COLI MCE PROTEIN MLAD PERIPLASMIC DOMAIN
10, 3u28C, 0.3619, 2.65, 0.097, 92, 62, CRYSTAL STRUCTURE OF A CBF5-NOP10-GAR1 COMPLEX FROM SACCHAROMYCES CEREVISIAE
