No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 6ic4B, 0.5399, 4.35, 0.126, 183, 95, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
2, 6ic4C, 0.5378, 4.17, 0.138, 183, 94, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
3, 5uvnF, 0.5345, 4.04, 0.149, 416, 94, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
4, 5uvnE, 0.5345, 4.04, 0.149, 416, 94, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
5, 5uvnD, 0.5345, 4.04, 0.149, 416, 94, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
6, 5uvnC, 0.5345, 4.04, 0.149, 416, 94, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
7, 5uvnB, 0.5345, 4.04, 0.149, 416, 94, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
8, 5uvnA, 0.5345, 4.04, 0.149, 416, 94, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
9, 2pbkA, 0.5307, 3.65, 0.126, 228, 87, CRYSTAL STRUCTURE OF KSHV PROTEASE IN COMPLEX WITH HEXAPEPTIDE PHOSPHONATE INHIBITOR
10, 2pbkB, 0.5303, 3.71, 0.114, 227, 88, CRYSTAL STRUCTURE OF KSHV PROTEASE IN COMPLEX WITH HEXAPEPTIDE PHOSPHONATE INHIBITOR
11, 5ur3B, 0.5300, 3.78, 0.093, 192, 86, KAPOSI S SARCOMA HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR
12, 3njqB, 0.5275, 3.61, 0.107, 187, 84, CRYSTAL STRUCTURE OF KAPOSI S SARCOMA-ASSOCIATED HERPESVIRUS PROTEASE IN COMPLEX WITH DIMER DISRUPTOR
13, 6ic4D, 0.5268, 4.40, 0.137, 183, 95, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
14, 5uw8D, 0.5264, 3.82, 0.090, 102, 89, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
15, 6ic4F, 0.5263, 4.06, 0.129, 183, 93, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
16, 5uvpB, 0.5263, 3.61, 0.107, 190, 84, KAPOSI S SARCOMA HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR
17, 5uw2A, 0.5252, 4.23, 0.097, 112, 93, STRUCTURE OF E. COLI MCE PROTEIN MLAD PERIPLASMIC DOMAIN
18, 6ic4A, 0.5249, 4.36, 0.125, 183, 96, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
19, 5uw8G, 0.5246, 3.85, 0.090, 106, 89, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
20, 5uw8A, 0.5222, 3.90, 0.090, 105, 89, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
21, 4v08B, 0.5220, 4.10, 0.133, 224, 90, INHIBITED DIMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2 A RESOLUTION
22, 5uw2B, 0.5219, 4.30, 0.097, 110, 93, STRUCTURE OF E. COLI MCE PROTEIN MLAD PERIPLASMIC DOMAIN
23, 5uw8E, 0.5217, 3.90, 0.090, 106, 89, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
24, 4v07A, 0.5215, 4.27, 0.132, 218, 91, DIMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2.1 A RESOLUTION
25, 5uw8B, 0.5211, 3.83, 0.091, 98, 88, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
26, 3njqA, 0.5209, 3.80, 0.106, 189, 85, CRYSTAL STRUCTURE OF KAPOSI S SARCOMA-ASSOCIATED HERPESVIRUS PROTEASE IN COMPLEX WITH DIMER DISRUPTOR
27, 5uw2C, 0.5205, 4.32, 0.097, 110, 93, STRUCTURE OF E. COLI MCE PROTEIN MLAD PERIPLASMIC DOMAIN
28, 4p2tB, 0.5205, 3.55, 0.108, 190, 83, CRYSTAL STRUCTURE OF KAPOSI S SARCOMA-ASSOCIATED HERPESVIRUS (KSHV) PROTEASE IN COMPLEX WITH A DIMER DISRUPTOR
29, 5uv3A, 0.5203, 3.65, 0.107, 193, 84, KAPOSI S SARCOMA HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR
30, 5utnA, 0.5203, 3.65, 0.107, 190, 84, KAPOSI S SARCOMA HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR
31, 4v08A, 0.5202, 4.16, 0.133, 213, 90, INHIBITED DIMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2 A RESOLUTION
32, 4v0tA, 0.5201, 4.19, 0.132, 220, 91, MONOMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2.1 A RESOLUTION
33, 4p3hA, 0.5199, 3.81, 0.106, 190, 85, CRYSTAL STRUCTURE OF KAPOSI S SARCOMA-ASSOCIATED HERPESVIRUS (KSHV) PROTEASE IN COMPLEX WITH DIMER DISRUPTOR
