No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 5sy1B, 0.2859, 6.98, 0.067, 582, 179, STRUCTURE OF THE STRA6 RECEPTOR FOR RETINOL UPTAKE IN COMPLEX WITH CALMODULIN
2, 5sy1A, 0.2843, 7.33, 0.087, 582, 184, STRUCTURE OF THE STRA6 RECEPTOR FOR RETINOL UPTAKE IN COMPLEX WITH CALMODULIN
3, 1bc9A, 0.2339, 6.01, 0.075, 200, 133, CYTOHESIN-1/B2-1 SEC7 DOMAIN NMR MINIMIZED AVERAGE STRUCTURE
4, 1ahwC, 0.2108, 5.46, 0.028, 200, 109, A COMPLEX OF EXTRACELLULAR DOMAIN OF TISSUE FACTOR WITH AN INHIBITORY FAB (5G9)
5, 1ahwF, 0.2085, 5.49, 0.028, 200, 108, A COMPLEX OF EXTRACELLULAR DOMAIN OF TISSUE FACTOR WITH AN INHIBITORY FAB (5G9)
6, 1atlB, 0.2030, 6.24, 0.078, 200, 115, STRUCTURAL INTERACTION OF NATURAL AND SYNTHETIC INHIBITORS WITH THE VENOM METALLOPROTEINASE ATROLYSIN C (FORM-D)
7, 1atlA, 0.2021, 5.84, 0.063, 200, 111, STRUCTURAL INTERACTION OF NATURAL AND SYNTHETIC INHIBITORS WITH THE VENOM METALLOPROTEINASE ATROLYSIN C (FORM-D)
8, 1bnkA, 0.1954, 5.98, 0.101, 200, 109, HUMAN 3-METHYLADENINE DNA GLYCOSYLASE COMPLEXED TO DNA
9, 1bamA, 0.1898, 5.89, 0.048, 200, 104, STRUCTURE OF RESTRICTION ENDONUCLEASE BAMHI PHASED AT 1.95 ANGSTROMS RESOLUTION BY MAD ANALYSIS
10, 1d02B, 0.1892, 6.27, 0.047, 200, 107, CRYSTAL STRUCTURE OF MUNI RESTRICTION ENDONUCLEASE IN COMPLEX WITH COGNATE DNA
