No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 5mqpD, 0.3880, 4.82, 0.050, 600, 80, GLYCOSIDE HYDROLASE BT_1002
2, 5gt5B, 0.3834, 4.72, 0.039, 444, 76, STRUCTURAL BASIS OF THE SPECIFIC ACTIVITY AND THERMOSTABILITY OF PECTATE LYASE (PELN) FROM PAENIBACILLUS SP. 0602
3, 5mqpA, 0.3819, 4.98, 0.037, 600, 81, GLYCOSIDE HYDROLASE BT_1002
4, 5mqpB, 0.3732, 5.06, 0.049, 599, 82, GLYCOSIDE HYDROLASE BT_1002
5, 5mqpC, 0.3724, 5.06, 0.049, 601, 82, GLYCOSIDE HYDROLASE BT_1002
6, 5mqpE, 0.3698, 5.07, 0.061, 602, 82, GLYCOSIDE HYDROLASE BT_1002
7, 5mqpH, 0.3695, 5.17, 0.072, 600, 83, GLYCOSIDE HYDROLASE BT_1002
8, 5mqpF, 0.3682, 5.17, 0.072, 599, 83, GLYCOSIDE HYDROLASE BT_1002
9, 4ru5C, 0.3628, 4.96, 0.054, 602, 74, CRYSTAL STRUCTURE OF THE PSEUDOMONAS PHAGE PHI297 TAILSPIKE GP61
10, 3vsvC, 0.3599, 5.15, 0.038, 638, 78, THE COMPLEX STRUCTURE OF XYLC WITH XYLOSE
