No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 1njuC, 0.5659, 3.75, 0.124, 227, 89, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
2, 2wpoC, 0.5650, 3.80, 0.124, 230, 89, HCMV PROTEASE INHIBITOR COMPLEX
3, 1njuD, 0.5649, 3.74, 0.133, 230, 90, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
4, 2wpoA, 0.5645, 3.80, 0.124, 230, 89, HCMV PROTEASE INHIBITOR COMPLEX
5, 1at3B, 0.5637, 3.59, 0.169, 217, 89, HERPES SIMPLEX VIRUS TYPE II PROTEASE
6, 2wpoB, 0.5636, 3.79, 0.124, 230, 89, HCMV PROTEASE INHIBITOR COMPLEX
7, 1at3A, 0.5636, 3.59, 0.169, 217, 89, HERPES SIMPLEX VIRUS TYPE II PROTEASE
8, 1njuA, 0.5625, 3.75, 0.133, 230, 90, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
9, 4v07B, 0.5618, 3.57, 0.124, 224, 89, DIMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2.1 A RESOLUTION
10, 1nkkB, 0.5617, 3.83, 0.135, 226, 89, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
11, 4v08A, 0.5609, 3.57, 0.124, 213, 89, INHIBITED DIMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2 A RESOLUTION
12, 1nkkA, 0.5607, 3.84, 0.124, 222, 89, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
13, 4v08B, 0.5603, 3.58, 0.124, 224, 89, INHIBITED DIMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2 A RESOLUTION
14, 1njuB, 0.5602, 3.78, 0.133, 230, 90, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
15, 2wpoD, 0.5599, 3.80, 0.133, 230, 90, HCMV PROTEASE INHIBITOR COMPLEX
16, 1fl1B, 0.5592, 3.72, 0.112, 207, 89, KSHV PROTEASE
17, 1vzvA, 0.5591, 3.66, 0.169, 211, 89, STRUCTURE OF VARICELLA-ZOSTER VIRUS PROTEASE
18, 1nkkC, 0.5591, 3.74, 0.135, 226, 89, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
19, 1njtD, 0.5590, 3.89, 0.112, 223, 89, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
20, 2pbkA, 0.5586, 3.64, 0.112, 228, 89, CRYSTAL STRUCTURE OF KSHV PROTEASE IN COMPLEX WITH HEXAPEPTIDE PHOSPHONATE INHIBITOR
21, 1nkmA, 0.5586, 3.84, 0.124, 220, 89, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
22, 1nkkD, 0.5584, 3.85, 0.135, 220, 89, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
23, 1njtA, 0.5578, 3.84, 0.133, 226, 90, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
24, 4v0tB, 0.5575, 3.76, 0.111, 215, 90, MONOMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2.1 A RESOLUTION
25, 2pbkB, 0.5575, 3.63, 0.112, 227, 89, CRYSTAL STRUCTURE OF KSHV PROTEASE IN COMPLEX WITH HEXAPEPTIDE PHOSPHONATE INHIBITOR
26, 1njtB, 0.5568, 3.89, 0.122, 227, 90, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
27, 1iegB, 0.5568, 3.83, 0.114, 223, 88, CRYSTAL STRUCTURE OF THE CATALYTIC SITE MUTANT S134A/H157A OF THE HUMAN CYTOMEGALOVIRUS PROTEASE
28, 4cx8A, 0.5566, 3.79, 0.100, 212, 90, MONOMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2.5 A RESOLUTION
29, 4v0tA, 0.5560, 3.63, 0.112, 220, 89, MONOMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2.1 A RESOLUTION
30, 4cx8B, 0.5559, 3.79, 0.111, 206, 90, MONOMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2.5 A RESOLUTION
31, 1njtC, 0.5553, 3.82, 0.124, 222, 89, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
32, 1jq7B, 0.5551, 3.85, 0.114, 217, 88, HCMV PROTEASE DIMER-INTERFACE MUTANT S225Y COMPLEXED TO INHIBITOR BILC 408
33, 1o6eB, 0.5520, 3.71, 0.112, 232, 89, EPSTEIN-BARR VIRUS PROTEASE
34, 1wpoA, 0.5515, 3.81, 0.125, 204, 88, HYDROLYTIC ENZYME HUMAN CYTOMEGALOVIRUS PROTEASE
35, 6ic4A, 0.5508, 3.94, 0.311, 183, 90, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
36, 1iedB, 0.5500, 3.82, 0.135, 223, 89, CRYSTAL STRUCTURE OF THE CATALYTIC SITE MUTANT (H157E) OF THE HUMAN CYTOMEGALOVIRUS PROTEASE
37, 1iedA, 0.5500, 3.85, 0.135, 214, 89, CRYSTAL STRUCTURE OF THE CATALYTIC SITE MUTANT (H157E) OF THE HUMAN CYTOMEGALOVIRUS PROTEASE
38, 6ic4D, 0.5489, 3.62, 0.295, 183, 88, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
39, 6ic4F, 0.5471, 3.92, 0.300, 183, 90, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
40, 1iegA, 0.5443, 3.83, 0.126, 207, 87, CRYSTAL STRUCTURE OF THE CATALYTIC SITE MUTANT S134A/H157A OF THE HUMAN CYTOMEGALOVIRUS PROTEASE
41, 6ic4B, 0.5441, 3.54, 0.299, 183, 87, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
42, 1iefB, 0.5422, 3.95, 0.124, 220, 89, CRYSTAL STRUCTURE OF THE CATALYTIC SITE MUTANT S134A OF THE HUMAN CYTOMEGALOVIRUS PROTEASE
43, 6ic4C, 0.5419, 3.73, 0.299, 183, 87, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
44, 1id4A, 0.5403, 3.88, 0.126, 208, 87, CRYSTAL STRUCTURE OF THE CATALYTIC SITE MUTANT (H157Q) OF THE HUMAN CYTOMEGALOVIRUS PROTEASE
45, 1jq7A, 0.5396, 3.76, 0.125, 210, 88, HCMV PROTEASE DIMER-INTERFACE MUTANT S225Y COMPLEXED TO INHIBITOR BILC 408
46, 1id4B, 0.5392, 3.89, 0.126, 219, 87, CRYSTAL STRUCTURE OF THE CATALYTIC SITE MUTANT (H157Q) OF THE HUMAN CYTOMEGALOVIRUS PROTEASE
47, 5uvnF, 0.5370, 3.75, 0.159, 416, 88, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
48, 5uvnE, 0.5370, 3.75, 0.159, 416, 88, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
49, 5uvnD, 0.5370, 3.75, 0.159, 416, 88, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
50, 5uvnC, 0.5370, 3.75, 0.159, 416, 88, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
51, 5uvnB, 0.5370, 3.75, 0.159, 416, 88, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
52, 5uvnA, 0.5370, 3.75, 0.159, 416, 88, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
53, 5v5dB, 0.5367, 3.40, 0.146, 186, 82, ROOM TEMPERATURE (280K) CRYSTAL STRUCTURE OF KAPOSI S SARCOMA- ASSOCIATED HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR (COMPOUND 250)
54, 1cmvA, 0.5366, 3.77, 0.131, 197, 84, HUMAN CYTOMEGALOVIRUS PROTEASE
55, 1iecB, 0.5365, 3.91, 0.115, 218, 87, CRYSTAL STRUCTURE OF THE CATALYTIC SITE MUTANT (H157A) OF THE HUMAN CYTOMEGALOVIRUS PROTEASE
56, 5ur3B, 0.5361, 3.38, 0.146, 192, 82, KAPOSI S SARCOMA HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR
57, 4p2tA, 0.5361, 3.35, 0.136, 192, 81, CRYSTAL STRUCTURE OF KAPOSI S SARCOMA-ASSOCIATED HERPESVIRUS (KSHV) PROTEASE IN COMPLEX WITH A DIMER DISRUPTOR
58, 3njqB, 0.5355, 3.34, 0.136, 187, 81, CRYSTAL STRUCTURE OF KAPOSI S SARCOMA-ASSOCIATED HERPESVIRUS PROTEASE IN COMPLEX WITH DIMER DISRUPTOR
59, 5uw2A, 0.5354, 3.91, 0.782, 112, 87, STRUCTURE OF E. COLI MCE PROTEIN MLAD PERIPLASMIC DOMAIN
