No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 5uvnF, 0.3645, 4.68, 0.167, 416, 72, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
2, 5uvnE, 0.3645, 4.68, 0.167, 416, 72, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
3, 5uvnD, 0.3645, 4.68, 0.167, 416, 72, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
4, 5uvnC, 0.3645, 4.68, 0.167, 416, 72, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
5, 5uvnB, 0.3645, 4.68, 0.167, 416, 72, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
6, 5uvnA, 0.3645, 4.68, 0.167, 416, 72, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
7, 2xetA, 0.3546, 3.55, 0.129, 89, 62, CONSERVED HYDROPHOBIC CLUSTERS ON THE SURFACE OF THE CAF1A USHER C-TERMINAL DOMAIN ARE IMPORTANT FOR F1 ANTIGEN ASSEMBLY
8, 2xetB, 0.3499, 3.51, 0.115, 88, 61, CONSERVED HYDROPHOBIC CLUSTERS ON THE SURFACE OF THE CAF1A USHER C-TERMINAL DOMAIN ARE IMPORTANT FOR F1 ANTIGEN ASSEMBLY
9, 3u28C, 0.3393, 4.01, 0.172, 92, 58, CRYSTAL STRUCTURE OF A CBF5-NOP10-GAR1 COMPLEX FROM SACCHAROMYCES CEREVISIAE
10, 3uaiC, 0.3354, 4.48, 0.095, 92, 63, STRUCTURE OF THE SHQ1-CBF5-NOP10-GAR1 COMPLEX FROM SACCHAROMYCES CEREVISIAE
