No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 5a7dP, 0.5060, 3.80, 0.766, 288, 158, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
2, 5a7dO, 0.5013, 3.99, 0.777, 288, 157, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
3, 5a7dL, 0.4996, 3.98, 0.761, 284, 159, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
4, 5a7dS, 0.4985, 3.83, 0.779, 287, 154, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
5, 5a7dN, 0.4973, 3.75, 0.796, 283, 152, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
6, 5a7dR, 0.4950, 4.57, 0.112, 311, 170, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
7, 5a7dM, 0.4933, 3.82, 0.675, 259, 154, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
8, 5a7dQ, 0.4922, 3.90, 0.779, 281, 154, TETRAMERIC ASSEMBLY OF LGN WITH INSCUTEABLE
9, 6n1lA, 0.2648, 3.90, 0.071, 141, 84, THE COMPLEMENT INHIBITORY DOMAIN OF B. BURGDORFERI BBK32. 
10, 3wkvA, 0.2628, 4.46, 0.086, 140, 93, VOLTAGE-GATED PROTON CHANNEL: VSOP/HV1 CHIMERIC CHANNEL
