No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 4s1tD, 0.6080, 2.58, 0.123, 342, 73, CRYSTAL STRUCTURE OF THE MUTANT I26A/N52A OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
2, 4s1tF, 0.6077, 2.57, 0.123, 342, 73, CRYSTAL STRUCTURE OF THE MUTANT I26A/N52A OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
3, 4s1tB, 0.6074, 2.57, 0.123, 342, 73, CRYSTAL STRUCTURE OF THE MUTANT I26A/N52A OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
4, 4s1tC, 0.6073, 2.66, 0.123, 342, 73, CRYSTAL STRUCTURE OF THE MUTANT I26A/N52A OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
5, 4s1tA, 0.6063, 2.58, 0.123, 342, 73, CRYSTAL STRUCTURE OF THE MUTANT I26A/N52A OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
6, 4s1tE, 0.6060, 2.58, 0.123, 342, 73, CRYSTAL STRUCTURE OF THE MUTANT I26A/N52A OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
7, 4rs4B, 0.6049, 2.76, 0.122, 345, 74, CRYSTAL STRUCTURE AND MUTATIONAL ANALYSIS OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
8, 4rs4C, 0.6048, 2.66, 0.108, 332, 74, CRYSTAL STRUCTURE AND MUTATIONAL ANALYSIS OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
9, 4rs4A, 0.6045, 2.58, 0.137, 341, 73, CRYSTAL STRUCTURE AND MUTATIONAL ANALYSIS OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
10, 4rs4F, 0.6039, 2.76, 0.122, 346, 74, CRYSTAL STRUCTURE AND MUTATIONAL ANALYSIS OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
11, 4rs4E, 0.6039, 2.75, 0.122, 341, 74, CRYSTAL STRUCTURE AND MUTATIONAL ANALYSIS OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
12, 4rs4D, 0.5973, 2.64, 0.110, 337, 73, CRYSTAL STRUCTURE AND MUTATIONAL ANALYSIS OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
13, 5yvdA, 0.5934, 2.77, 0.137, 341, 73, STRUCTURAL AND BIOCHEMICAL CHARACTERIZATION OF ENDORIBONUCLEASE NSP15 ENCODED BY MIDDLE EAST RESPIRATORY SYNDROME CORONAVIRUS 
14, 5hkqA, 0.5907, 3.66, 0.744, 142, 82, CRYSTAL STRUCTURE OF CDI COMPLEX FROM ESCHERICHIA COLI STEC_O31
15, 5yvdB, 0.5889, 2.75, 0.137, 341, 73, STRUCTURAL AND BIOCHEMICAL CHARACTERIZATION OF ENDORIBONUCLEASE NSP15 ENCODED BY MIDDLE EAST RESPIRATORY SYNDROME CORONAVIRUS 
16, 2gthA, 0.5863, 2.70, 0.110, 348, 73, CRYSTAL STRUCTURE OF THE WILDTYPE MHV CORONAVIRUS NON-STRUCTURAL PROTEIN NSP15
17, 2h85A, 0.5844, 2.70, 0.137, 347, 73, CRYSTAL STRUCTURE OF NSP 15 FROM SARS
18, 2gtiA, 0.5812, 2.74, 0.110, 343, 73, MUTATION OF MHV CORONAVIRUS NON-STRUCTURAL PROTEIN NSP15 (F307L)
19, 2rhbD, 0.5805, 2.72, 0.151, 346, 73, CRYSTAL STRUCTURE OF NSP15-H234A MUTANT- HEXAMER IN ASYMMETRIC UNIT
20, 2rhbF, 0.5799, 2.76, 0.137, 344, 73, CRYSTAL STRUCTURE OF NSP15-H234A MUTANT- HEXAMER IN ASYMMETRIC UNIT
21, 2rhbE, 0.5762, 2.78, 0.151, 346, 73, CRYSTAL STRUCTURE OF NSP15-H234A MUTANT- HEXAMER IN ASYMMETRIC UNIT
22, 2rhbA, 0.5755, 2.76, 0.137, 345, 73, CRYSTAL STRUCTURE OF NSP15-H234A MUTANT- HEXAMER IN ASYMMETRIC UNIT
23, 2rhbB, 0.5723, 2.80, 0.164, 346, 73, CRYSTAL STRUCTURE OF NSP15-H234A MUTANT- HEXAMER IN ASYMMETRIC UNIT
24, 2rhbC, 0.5664, 2.85, 0.164, 345, 73, CRYSTAL STRUCTURE OF NSP15-H234A MUTANT- HEXAMER IN ASYMMETRIC UNIT
25, 2c1wC, 0.5392, 2.93, 0.056, 271, 71, THE STRUCTURE OF XENDOU: A SPLICING INDEPENDENT SNORNA PROCESSING ENDORIBONUCLEASE
26, 2c1wA, 0.5350, 3.06, 0.125, 273, 72, THE STRUCTURE OF XENDOU: A SPLICING INDEPENDENT SNORNA PROCESSING ENDORIBONUCLEASE
27, 2c1wB, 0.5311, 3.20, 0.125, 276, 72, THE STRUCTURE OF XENDOU: A SPLICING INDEPENDENT SNORNA PROCESSING ENDORIBONUCLEASE
