No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 5g24A, 0.4382, 4.31, 0.101, 200, 89, TYPE IV-LIKE PILIN TTHA1219 FROM THERMUS THERMOPHILUS
2, 2vtuL, 0.4169, 3.90, 0.137, 257, 80, CRYSTAL STRUCTURE OF BACTERIOPHAGE MS2 COVALENT COAT PROTEIN DIMER
3, 5bw0F, 0.4148, 3.62, 0.065, 91, 77, THE CRYSTAL STRUCTURE OF MINOR PSEUDOPILIN BINARY COMPLEX OF XCPV AND XCPW FROM THE TYPE 2 SECRETION SYSTEM OF PSEUDOMONAS AERUGINOSA
4, 5g24B, 0.4115, 4.02, 0.136, 194, 81, TYPE IV-LIKE PILIN TTHA1219 FROM THERMUS THERMOPHILUS
5, 5bw0B, 0.4028, 3.86, 0.077, 89, 78, THE CRYSTAL STRUCTURE OF MINOR PSEUDOPILIN BINARY COMPLEX OF XCPV AND XCPW FROM THE TYPE 2 SECRETION SYSTEM OF PSEUDOMONAS AERUGINOSA
6, 5bw0D, 0.4022, 3.73, 0.067, 84, 75, THE CRYSTAL STRUCTURE OF MINOR PSEUDOPILIN BINARY COMPLEX OF XCPV AND XCPW FROM THE TYPE 2 SECRETION SYSTEM OF PSEUDOMONAS AERUGINOSA
7, 3cfiD, 0.4003, 3.26, 0.041, 80, 73, NANOBODY-AIDED STRUCTURE DETERMINATION OF THE EPSI:EPSJ PSEUDOPILIN HETERDIMER FROM VIBRIO VULNIFICUS
8, 5bw0H, 0.3993, 3.58, 0.068, 81, 74, THE CRYSTAL STRUCTURE OF MINOR PSEUDOPILIN BINARY COMPLEX OF XCPV AND XCPW FROM THE TYPE 2 SECRETION SYSTEM OF PSEUDOMONAS AERUGINOSA
9, 3cfiJ, 0.3978, 3.12, 0.042, 81, 72, NANOBODY-AIDED STRUCTURE DETERMINATION OF THE EPSI:EPSJ PSEUDOPILIN HETERDIMER FROM VIBRIO VULNIFICUS
10, 5g23D, 0.3935, 4.66, 0.080, 194, 87, TYPE IV-LIKE PILIN TTHA1219 FROM THERMUS THERMOPHILUS
