No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 5uvnD, 0.4404, 4.49, 0.202, 416, 99, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
2, 5uvnF, 0.4403, 4.49, 0.202, 416, 99, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
3, 5uvnE, 0.4403, 4.49, 0.202, 416, 99, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
4, 5uvnC, 0.4403, 4.49, 0.202, 416, 99, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
5, 5uvnB, 0.4403, 4.49, 0.202, 416, 99, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
6, 5uvnA, 0.4403, 4.49, 0.202, 416, 99, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
7, 5uw8G, 0.4232, 4.32, 0.152, 106, 92, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
8, 5uw8C, 0.4213, 3.84, 0.188, 101, 85, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
9, 5uw8B, 0.4202, 4.09, 0.157, 98, 89, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
10, 5uw2A, 0.4200, 4.19, 0.146, 112, 89, STRUCTURE OF E. COLI MCE PROTEIN MLAD PERIPLASMIC DOMAIN
