No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 4amfB, 0.4115, 5.68, 0.024, 581, 167, PSEUDOMONAS FLUORESCENS PHOX IN COMPLEX WITH THE SUBSTRATE ANALOGUE APPCP
2, 3zwuB, 0.4112, 5.68, 0.024, 580, 167, PSEUDOMONAS FLUORESCENS PHOX IN COMPLEX WITH VANADATE A TRANSITION STATE ANALOGUE
3, 4a9xA, 0.4109, 5.74, 0.024, 581, 168, PSEUDOMONAS FLUORESCENS PHOX IN COMPLEX WITH THE SUBSTRATE ANALOGUE APPCP
4, 3zwuA, 0.4107, 5.59, 0.024, 580, 165, PSEUDOMONAS FLUORESCENS PHOX IN COMPLEX WITH VANADATE A TRANSITION STATE ANALOGUE
5, 4a9vA, 0.4102, 5.65, 0.024, 581, 166, PSEUDOMONAS FLUORESCENS PHOX
6, 4alfB, 0.4027, 5.72, 0.012, 581, 164, PSEUDOMONAS FLUORESCENS PHOX IN COMPLEX WITH PHOSPHATE
7, 4amfA, 0.4019, 5.71, 0.043, 581, 164, PSEUDOMONAS FLUORESCENS PHOX IN COMPLEX WITH THE SUBSTRATE ANALOGUE APPCP
8, 4alfA, 0.4017, 5.71, 0.043, 581, 164, PSEUDOMONAS FLUORESCENS PHOX IN COMPLEX WITH PHOSPHATE
9, 5f75A, 0.3896, 6.40, 0.041, 474, 171, THIOCYANATE DEHYDROGENASE FROM THIOALKALIVIBRIO PARADOXUS
10, 5f75D, 0.3893, 6.32, 0.059, 466, 170, THIOCYANATE DEHYDROGENASE FROM THIOALKALIVIBRIO PARADOXUS
