No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 4rs4B, 0.5979, 2.91, 0.151, 345, 73, CRYSTAL STRUCTURE AND MUTATIONAL ANALYSIS OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
2, 4s1tF, 0.5971, 2.84, 0.096, 342, 73, CRYSTAL STRUCTURE OF THE MUTANT I26A/N52A OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
3, 4s1tD, 0.5970, 2.84, 0.096, 342, 73, CRYSTAL STRUCTURE OF THE MUTANT I26A/N52A OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
4, 4s1tB, 0.5970, 2.84, 0.096, 342, 73, CRYSTAL STRUCTURE OF THE MUTANT I26A/N52A OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
5, 4s1tA, 0.5964, 2.84, 0.096, 342, 73, CRYSTAL STRUCTURE OF THE MUTANT I26A/N52A OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
6, 4s1tC, 0.5963, 2.85, 0.123, 342, 73, CRYSTAL STRUCTURE OF THE MUTANT I26A/N52A OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
7, 4s1tE, 0.5962, 2.84, 0.096, 342, 73, CRYSTAL STRUCTURE OF THE MUTANT I26A/N52A OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
8, 4rs4C, 0.5949, 2.91, 0.096, 332, 73, CRYSTAL STRUCTURE AND MUTATIONAL ANALYSIS OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
9, 4rs4E, 0.5940, 2.84, 0.096, 341, 73, CRYSTAL STRUCTURE AND MUTATIONAL ANALYSIS OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
10, 4rs4A, 0.5935, 2.83, 0.137, 341, 73, CRYSTAL STRUCTURE AND MUTATIONAL ANALYSIS OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
11, 4rs4F, 0.5917, 2.85, 0.096, 346, 73, CRYSTAL STRUCTURE AND MUTATIONAL ANALYSIS OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
12, 4rs4D, 0.5855, 2.90, 0.096, 337, 73, CRYSTAL STRUCTURE AND MUTATIONAL ANALYSIS OF THE ENDORIBONUCLEASE FROM HUMAN CORONAVIRUS 229E
13, 5hkqA, 0.5846, 3.42, 0.700, 142, 80, CRYSTAL STRUCTURE OF CDI COMPLEX FROM ESCHERICHIA COLI STEC_O31
14, 5yvdA, 0.5828, 2.91, 0.123, 341, 73, STRUCTURAL AND BIOCHEMICAL CHARACTERIZATION OF ENDORIBONUCLEASE NSP15 ENCODED BY MIDDLE EAST RESPIRATORY SYNDROME CORONAVIRUS 
15, 2gthA, 0.5824, 2.77, 0.167, 348, 72, CRYSTAL STRUCTURE OF THE WILDTYPE MHV CORONAVIRUS NON-STRUCTURAL PROTEIN NSP15
16, 5yvdB, 0.5818, 2.83, 0.125, 341, 72, STRUCTURAL AND BIOCHEMICAL CHARACTERIZATION OF ENDORIBONUCLEASE NSP15 ENCODED BY MIDDLE EAST RESPIRATORY SYNDROME CORONAVIRUS 
17, 2h85A, 0.5810, 2.74, 0.153, 347, 72, CRYSTAL STRUCTURE OF NSP 15 FROM SARS
18, 2rhbD, 0.5777, 2.75, 0.139, 346, 72, CRYSTAL STRUCTURE OF NSP15-H234A MUTANT- HEXAMER IN ASYMMETRIC UNIT
19, 2gtiA, 0.5753, 2.82, 0.139, 343, 72, MUTATION OF MHV CORONAVIRUS NON-STRUCTURAL PROTEIN NSP15 (F307L)
20, 2rhbA, 0.5743, 2.80, 0.139, 345, 72, CRYSTAL STRUCTURE OF NSP15-H234A MUTANT- HEXAMER IN ASYMMETRIC UNIT
21, 2rhbF, 0.5732, 2.80, 0.139, 344, 72, CRYSTAL STRUCTURE OF NSP15-H234A MUTANT- HEXAMER IN ASYMMETRIC UNIT
22, 2rhbB, 0.5672, 2.84, 0.125, 346, 72, CRYSTAL STRUCTURE OF NSP15-H234A MUTANT- HEXAMER IN ASYMMETRIC UNIT
23, 2rhbC, 0.5654, 2.87, 0.139, 345, 72, CRYSTAL STRUCTURE OF NSP15-H234A MUTANT- HEXAMER IN ASYMMETRIC UNIT
24, 2rhbE, 0.5653, 2.86, 0.125, 346, 72, CRYSTAL STRUCTURE OF NSP15-H234A MUTANT- HEXAMER IN ASYMMETRIC UNIT
25, 2c1wC, 0.5462, 3.07, 0.113, 271, 71, THE STRUCTURE OF XENDOU: A SPLICING INDEPENDENT SNORNA PROCESSING ENDORIBONUCLEASE
26, 2c1wA, 0.5419, 3.13, 0.113, 273, 71, THE STRUCTURE OF XENDOU: A SPLICING INDEPENDENT SNORNA PROCESSING ENDORIBONUCLEASE
27, 2c1wB, 0.5378, 3.28, 0.127, 276, 71, THE STRUCTURE OF XENDOU: A SPLICING INDEPENDENT SNORNA PROCESSING ENDORIBONUCLEASE
