No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 4alfB, 0.4658, 6.03, 0.080, 581, 200, PSEUDOMONAS FLUORESCENS PHOX IN COMPLEX WITH PHOSPHATE
2, 4amfA, 0.4653, 6.01, 0.075, 581, 201, PSEUDOMONAS FLUORESCENS PHOX IN COMPLEX WITH THE SUBSTRATE ANALOGUE APPCP
3, 4alfA, 0.4643, 5.98, 0.075, 581, 199, PSEUDOMONAS FLUORESCENS PHOX IN COMPLEX WITH PHOSPHATE
4, 4a9vA, 0.4566, 6.01, 0.046, 581, 197, PSEUDOMONAS FLUORESCENS PHOX
5, 4amfB, 0.4556, 5.91, 0.052, 581, 191, PSEUDOMONAS FLUORESCENS PHOX IN COMPLEX WITH THE SUBSTRATE ANALOGUE APPCP
6, 4a9xA, 0.4537, 5.97, 0.046, 581, 195, PSEUDOMONAS FLUORESCENS PHOX IN COMPLEX WITH THE SUBSTRATE ANALOGUE APPCP
7, 3zwuB, 0.4529, 5.89, 0.058, 580, 191, PSEUDOMONAS FLUORESCENS PHOX IN COMPLEX WITH VANADATE A TRANSITION STATE ANALOGUE
8, 3zwuA, 0.4511, 5.80, 0.048, 580, 189, PSEUDOMONAS FLUORESCENS PHOX IN COMPLEX WITH VANADATE A TRANSITION STATE ANALOGUE
9, 3q6kB, 0.4359, 6.03, 0.022, 381, 183, SALIVARY PROTEIN FROM LUTZOMYIA LONGIPALPIS
10, 3q6kA, 0.4355, 5.55, 0.017, 380, 174, SALIVARY PROTEIN FROM LUTZOMYIA LONGIPALPIS
